,도시,시간,온도,체감온도,습도
122,Europe/London,1651456800,281.74,281.74,92
123,Europe/London,1651460400,281.77,281.77,92
124,Europe/London,1651464000,281.61,281.61,92
125,Europe/London,1651467600,281.68,281.68,91
126,Europe/London,1651471200,282.31,282.31,91
127,Europe/London,1651474800,282.98,282.98,88
128,Europe/London,1651478400,283.83,283.12,83
129,Europe/London,1651482000,285.1,284.39,78
130,Europe/London,1651485600,286.02,285.27,73
131,Europe/London,1651489200,286.33,285.61,73
132,Europe/London,1651492800,286.81,286.11,72
133,Europe/London,1651496400,287.51,286.75,67
134,Europe/London,1651500000,287.88,287.11,65
135,Europe/London,1651503600,288.75,287.98,62
136,Europe/London,1651507200,288.83,288.07,62
137,Europe/London,1651510800,288.36,287.61,64
138,Europe/London,1651514400,287.69,286.98,68
139,Europe/London,1651518000,286.99,286.31,72
140,Europe/London,1651521600,286.08,285.41,76
141,Europe/London,1651525200,285.59,284.93,78
142,Europe/London,1651528800,285.12,284.49,81
143,Europe/London,1651532400,284.71,284.06,82
144,Europe/London,1651536000,284.47,283.82,83
145,Europe/London,1651539600,284.17,283.55,85
146,Europe/London,1651543200,284.01,283.37,85
147,Europe/London,1651546800,283.59,282.94,86
148,Europe/London,1651550400,283.43,282.79,87
149,Europe/London,1651554000,283.0,282.63,89
150,Europe/London,1651557600,283.73,283.14,88
151,Europe/London,1651561200,284.92,284.29,82
152,Europe/London,1651564800,285.82,285.18,78
153,Europe/London,1651568400,286.5,285.9,77
154,Europe/London,1651572000,287.31,286.74,75
155,Europe/London,1651575600,287.65,287.11,75
156,Europe/London,1651579200,288.3,287.83,75
157,Europe/London,1651582800,289.02,288.52,71
158,Europe/London,1651586400,288.46,287.9,71
159,Europe/London,1651590000,287.68,287.15,75
160,Europe/London,1651593600,286.83,286.29,78
161,Europe/London,1651597200,286.37,285.84,80
162,Europe/London,1651600800,285.88,285.38,83
163,Europe/London,1651604400,285.49,284.95,83
164,Europe/London,1651608000,284.89,284.34,85
165,Europe/London,1651611600,284.58,284.05,87
166,Europe/London,1651615200,284.07,283.52,88
167,Europe/London,1651618800,283.8,283.24,89
168,Europe/London,1651622400,283.58,283.05,91
169,Europe/London,1651626000,283.48,283.0,93
170,Europe/London,1651629600,283.1,282.41,92
171,Europe/London,1651633200,282.99,282.43,92
172,Europe/London,1651636800,282.64,281.83,91
173,Europe/London,1651640400,282.74,281.63,92
174,Europe/London,1651644000,283.1,281.77,93
175,Europe/London,1651647600,283.9,283.43,92
176,Europe/London,1651651200,284.74,284.3,90
177,Europe/London,1651654800,286.21,285.79,85
178,Europe/London,1651658400,287.97,287.6,80
179,Europe/London,1651662000,288.59,288.2,77
180,Europe/London,1651665600,288.17,287.74,77
181,Europe/London,1651669200,287.88,287.45,78
182,Europe/London,1651672800,287.06,286.7,84
183,Europe/London,1651676400,288.02,287.63,79
184,Europe/London,1651680000,289.4,288.96,72
185,Europe/London,1651683600,288.72,288.24,73
186,Europe/London,1651687200,287.58,287.12,78
187,Europe/London,1651690800,286.12,285.77,88
188,Europe/London,1651694400,285.68,285.36,91
189,Europe/London,1651698000,285.3,284.97,92
190,Europe/London,1651701600,284.46,284.07,93
191,Europe/London,1651705200,284.01,283.58,93
192,Europe/London,1651708800,283.41,282.89,92
193,Europe/London,1651712400,282.38,280.91,91
194,Europe/London,1651716000,281.18,279.39,92
195,Europe/London,1651719600,280.85,279.03,92
196,Europe/London,1651723200,280.52,278.6,93
197,Europe/London,1651726800,280.32,278.34,93
198,Europe/London,1651730400,282.17,280.42,93
199,Europe/London,1651734000,284.33,283.83,89
200,Europe/London,1651737600,285.24,284.67,83
