,남자평균오차율,여자평균오차율,변수
0,14.335449980905514,8.06541347584039,M_20
1,4.363049816886673,3.1716243200733603,M_30
2,7.304075760591331,5.783153720668758,M_40
3,5.097330741203056,0.9929334339783468,M_50
4,7.855921714459198,1.6197852509791435,M_60
5,12.573139247040537,5.566227511005413,M_70
6,13.413608145804055,6.869834742024124,M_80
7,0.07535689902327412,1.674145910185462,F_10
8,13.290034204889606,7.823394695783492,F_20
9,2.3700767408029226,2.362215123090462,F_30
10,1.9240908950275661,2.6093972385924467,F_40
11,11.120935834076855,4.394464148543897,F_60
12,15.472122175748055,8.394645813829172,F_70
13,12.561270002181523,6.240042079930906,F_80
14,4.342388530636829,3.126508716288921,M_20+M_30
15,1.9062889627680362,1.03957634765087,M_20+M_40
16,4.256343518109126,0.3398722098899207,M_20+M_50
17,6.2968065358126335,0.6851703907883325,M_20+M_60
18,6.535761151264824,1.1129383933065526,M_20+M_70
19,5.83261855672412,1.0653831723887113,M_20+M_80
20,0.06939358038923103,1.4024880160929416,M_20+F_10
21,12.31529061094975,7.810461986131762,M_20+F_20
22,2.3698157408372174,2.1840146621806493,M_20+F_30
23,0.3819605255446828,0.7491365004239944,M_20+F_40
24,6.089140803328344,0.7391573972269235,M_20+F_60
25,5.808877706692359,0.9513641928953779,M_20+F_70
26,5.764841919172233,1.046671834130966,M_20+F_80
27,3.155568110372291,2.6936390309504445,M_30+M_40
28,3.1044468493756936,0.6803652454377629,M_30+M_50
29,3.669873225672711,0.7370573718207497,M_30+M_60
30,3.8081928803337415,1.6942513411686053,M_30+M_70
31,3.4035778633272287,1.660548306891324,M_30+M_80
32,0.08970081077974772,1.711725181933386,M_30+F_10
33,4.350100336456451,3.1592384776412703,M_30+F_20
34,2.2867336239128866,2.466887016077771,M_30+F_30
35,1.488145291831059,2.0281310973584756,M_30+F_40
36,3.664839807482195,1.3933591305561426,M_30+F_60
37,3.60790088740818,1.9279230283243105,M_30+F_70
38,3.2892013124391886,1.5197861373809511,M_30+F_80
39,4.714135243965111,0.9210824076152248,M_40+M_50
40,5.854712878081999,1.6277871134822757,M_40+M_60
41,7.303200803235615,4.806993080824344,M_40+M_70
42,7.273464895007106,5.339637707351325,M_40+M_80
43,0.05516159144982442,1.6832052128614967,M_40+F_10
44,1.656342973905747,1.1903326791422086,M_40+F_20
45,2.168826623577972,2.309602237730601,M_40+F_30
46,0.1748233793217064,1.5863988692431892,M_40+F_40
47,7.270252749714461,4.147031430082492,M_40+F_60
48,6.759403812617928,5.744496205288981,M_40+F_70
49,7.296150536666574,5.028240401841578,M_40+F_80
50,3.938184746329643,0.9934670090844172,M_50+M_60
51,3.6108541789785713,0.5901046411322518,M_50+M_70
52,4.294478732916318,0.6208311238053212,M_50+M_80
53,0.059909420356110195,0.5765599154297553,M_50+F_10
54,3.982397333897697,0.3229547685882646,M_50+F_20
55,1.9671833706562163,0.557560020643392,M_50+F_30
56,1.96111501202368,1.0274628843441211,M_50+F_40
57,4.230998432813826,0.8698436498551874,M_50+F_60
58,4.300214290162653,0.6357411109611438,M_50+F_70
59,4.581744948325062,0.7768400343526428,M_50+F_80
60,6.814009633858268,0.7597634877360782,M_60+M_70
61,7.537825996563788,1.1307559206060882,M_60+M_80
62,0.07378604135367997,0.3216040848289581,M_60+F_10
63,5.792350380725328,0.5681013438850863,M_60+F_20
64,2.2123235469242584,0.5664672007667997,M_60+F_30
65,1.929217207977741,1.0939501967152492,M_60+F_40
66,7.525948589833433,1.3378141719194472,M_60+F_60
67,7.414394833846739,1.124913609038807,M_60+F_70
68,7.757016112576251,1.3664110568408847,M_60+F_80
69,12.544555991543632,5.192049197725563,M_70+M_80
70,0.056469115464710756,1.149051049822425,M_70+F_10
71,5.724790235913871,0.9124828716142772,M_70+F_20
72,2.3149036396447924,1.5192025683146237,M_70+F_30
73,1.2227963633605665,2.5259273153576385,M_70+F_40
74,10.796014578040168,4.161721923671565,M_70+F_60
75,11.187214009877898,3.8731301926693313,M_70+F_70
76,12.371827605479575,5.575695713015716,M_70+F_80
77,0.062133094010456386,1.3489572275584285,M_80+F_10
78,5.008717610130656,0.8889804142013982,M_80+F_20
79,2.147726561266367,1.5416227408651888,M_80+F_30
80,1.1714983250632764,2.6193254645992905,M_80+F_40
81,10.898297862536479,3.8928337918100784,M_80+F_60
82,12.024497899336037,6.002184823439093,M_80+F_70
83,12.014896267364659,5.8959285665362735,M_80+F_80
84,0.07260047101877205,1.5084887388182646,F_10+F_20
85,0.07512628277591528,1.612320923107498,F_10+F_30
86,0.09831034128196231,1.699650615907479,F_10+F_40
87,0.06160176438194313,0.9767978493615678,F_10+F_60
88,0.0583162955924924,1.4318832830014632,F_10+F_70
89,0.06274902536801305,1.3122446091721198,F_10+F_80
90,2.367444622000479,2.254181682606366,F_20+F_30
91,0.28073303283173284,0.8805904291633815,F_20+F_40
92,5.312072083163198,0.5369379117608463,F_20+F_60
93,4.880743740731884,0.7416730636635201,F_20+F_70
94,4.989159066187203,0.8883966789934669,F_20+F_80
95,1.338189924776833,2.033214821228447,F_30+F_40
96,2.3105231812493443,1.3706404541932795,F_30+F_60
97,2.274326632034269,1.8032895220633567,F_30+F_70
98,2.117147675251025,1.461832523035763,F_30+F_80
99,1.3116480175687713,2.36511573735271,F_40+F_60
100,0.7292515063650075,2.6026614718205034,F_40+F_70
101,1.3551823502790474,2.585825181218672,F_40+F_80
102,8.831939579397998,1.955310282243433,F_60+F_70
103,11.094169118051635,4.152761895692086,F_60+F_80
